n_features,features,accuracy,auc,spd,di,eod,aod
2,"['PctKids2Par', 'PctIlleg']",0.8145363408521303,0.8828768844221105,-0.4824067558057706,0.3148425787106447,-0.31676931690929455,0.19655482162481047
3,"['PctKids2Par', 'PctIlleg', 'PctFam2Par']",0.8045112781954887,0.8876884422110554,-0.49261083743842365,0.3103448275862069,-0.3937569988801791,0.22543327799486812
5,"['PctKids2Par', 'PctFam2Par', 'PctIlleg', 'NumIlleg', 'PctYoungKids2Par']",0.8295739348370927,0.8976633165829145,-0.532899366643209,0.27966706302021405,-0.37751959686450176,0.24470385437630682
7,"['PctIlleg', 'PctKids2Par', 'PctFam2Par', 'NumIlleg', 'PctYoungKids2Par', 'pctWInvInc', 'racePctWhite']",0.8395989974937343,0.902964824120603,-0.5531315974665728,0.2674743709226468,-0.3694008958566629,0.2584183966462802
10,"['PctIlleg', 'PctKids2Par', 'PctFam2Par', 'NumIlleg', 'NumUnderPov', 'PctYoungKids2Par', 'racePctWhite', 'PctTeen2Par', 'pctWInvInc', 'PctPersDenseHous']",0.8421052631578947,0.8988442211055276,-0.5381773399014779,0.2824302134646962,-0.37597984322508404,0.2325703411929616
15,"['PctKids2Par', 'PctIlleg', 'PctFam2Par', 'NumIlleg', 'PctYoungKids2Par', 'pctWInvInc', 'NumUnderPov', 'PctPersDenseHous', 'racePctWhite', 'FessPctDiv', 'PctTeen2Par', 'PctPopUnderPov', 'pctWPubAsst', 'PctPersOwnOccup', 'MalePctDivorce']",0.8270676691729323,0.9044221105527638,-0.517945109078114,0.2950191570881226,-0.37751959686450176,0.22692996160241408
20,"['PctKids2Par', 'PctIlleg', 'PctFam2Par', 'NumIlleg', 'racePctWhite', 'PctYoungKids2Par', 'pctWInvInc', 'FessPctDiv', 'NumUnderPov', 'PctTeen2Par', 'PctPersDenseHous', 'PctPopUnderPov', 'pctWPubAsst', 'PctPersOwnOccup', 'PctHousNoPhone', 'TotalPctDiv', 'racepctblack', 'PctUnemployed', 'MalePctDivorce', 'PctNotHSGrad']",0.8320802005012531,0.9044472361809045,-0.5177691766361717,0.29033035929587653,-0.34966405375139975,0.21941244645611946
30,"['PctIlleg', 'PctKids2Par', 'PctFam2Par', 'NumIlleg', 'PctYoungKids2Par', 'NumUnderPov', 'racePctWhite', 'pctWInvInc', 'PctTeen2Par', 'FessPctDiv', 'TotalPctDiv', 'pctWPubAsst', 'PctPersDenseHous', 'PctPersOwnOccup', 'PctPopUnderPov', 'MalePctDivorce', 'PctHousNoPhone', 'racepctblack', 'PctNotHSGrad', 'PctHousLess3BR', 'medFamInc', 'PctUnemployed', 'PctHousOwnOcc', 'PctLess9thGrade', 'HousVacant', 'medIncome', 'PctLargHouseFam', 'PctOccupMgmtProf', 'blackPerCap', 'NumInShelters']",0.8370927318295739,0.9106783919597989,-0.5374736101337086,0.26332288401253917,-0.31522956326987683,0.24094811496827176
50,"['PctKids2Par', 'PctFam2Par', 'PctIlleg', 'NumIlleg', 'PctYoungKids2Par', 'PctTeen2Par', 'racePctWhite', 'NumUnderPov', 'pctWInvInc', 'FessPctDiv', 'PctPersDenseHous', 'TotalPctDiv', 'PctPopUnderPov', 'pctWPubAsst', 'PctHousNoPhone', 'MalePctDivorce', 'PctPersOwnOccup', 'PctNotHSGrad', 'PctHousLess3BR', 'medFamInc', 'HousVacant', 'PctHousOwnOcc', 'racepctblack', 'PctUnemployed', 'PctLess9thGrade', 'NumStreet', 'medIncome', 'racePctHisp', 'perCapInc', 'PctOccupMgmtProf', 'PctLargHouseFam', 'numbUrban', 'MedNumBR', 'blackPerCap', 'PctHousOccup', 'NumInShelters', 'PctBSorMore', 'OtherPerCap', 'PctVacantBoarded', 'PctWOFullPlumb', 'PctOccupManu', 'population', 'PctSpeakEnglOnly', 'PctNotSpeakEnglWell', 'PctRecImmig8', 'PctRecImmig10', 'agePct16t24', 'PctImmigRec5', 'PctEmploy', 'agePct12t29']",0.8446115288220551,0.9158291457286432,-0.5121393384940183,0.27784668816670804,-0.2873740201567748,0.19292943432081167
100,"['PctKids2Par', 'PctIlleg', 'PctFam2Par', 'NumIlleg', 'PctYoungKids2Par', 'pctWInvInc', 'racePctWhite', 'PctTeen2Par', 'PctPopUnderPov', 'NumUnderPov', 'FessPctDiv', 'PctPersDenseHous', 'pctWPubAsst', 'PctPersOwnOccup', 'TotalPctDiv', 'MalePctDivorce', 'racepctblack', 'PctNotHSGrad', 'PctHousNoPhone', 'PctUnemployed', 'PctLess9thGrade', 'PctHousLess3BR', 'medFamInc', 'HousVacant', 'PctHousOwnOcc', 'blackPerCap', 'medIncome', 'PctLargHouseFam', 'perCapInc', 'NumInShelters', 'PctVacantBoarded', 'racePctHisp', 'population', 'numbUrban', 'PctOccupMgmtProf', 'PctSpeakEnglOnly', 'NumStreet', 'PctOccupManu', 'PctBSorMore', 'MedNumBR', 'PctWOFullPlumb', 'MedRentPctHousInc', 'NumImmig', 'LemasPctOfficDrugUn', 'PctImmigRec5', 'PctNotSpeakEnglWell', 'agePct12t29', 'RentLowQ', 'indianPerCap', 'PctEmploy', 'whitePerCap', 'HispPerCap', 'PctHousOccup', 'agePct16t24', 'PctRecImmig8', 'OtherPerCap', 'RentMedian', 'PctRecImmig10', 'PctLargHouseOccup', 'PersPerOwnOccHous', 'pctWWage', 'PctImmigRec8', 'MalePctNevMarr', 'PersPerRentOccHous', 'LandArea', 'PopDens', 'PctSameHouse85', 'PctImmigRec10', 'RentHighQ', 'agePct12t21', 'pctUrban', 'PctRecentImmig', 'AsianPerCap', 'PctForeignBorn', 'OwnOccMedVal', 'MedYrHousBuilt', 'OwnOccLowQuart', 'PctImmigRecent', 'MedOwnCostPctInc', 'PersPerOccupHous', 'PctEmplManu', 'MedRent', 'PctRecImmig5', 'pctWSocSec', 'PctEmplProfServ', 'PctSameState85', 'PctSameCity85', 'OwnOccHiQuart', 'agePct65up', 'householdsize', 'PctBornSameState', 'PersPerFam', 'PctUsePubTrans', 'pctWFarmSelf', 'pctWRetire', 'racePctAsian', 'PctWorkMomYoungKids', 'PctWorkMom', 'PctVacMore6Mos', 'MedOwnCostPctIncNoMtg']",0.849624060150376,0.9183919597989949,-0.5327234342012668,0.27490421455938696,-0.2579787234042553,0.2155278232405892
